
AÑO		MES		INGRESOS	GASTOS		SALDO
2006	Noviembre	 2.400,00 € 	 1.770,00 € 	 630,00 € 
2006	Diciembre	 2.000,00 € 	 2.045,00 € 	-45,00 € 
2007	Enero	 2.575,00 € 	 2.345,00 € 	 230,00 € 
2007	Febrero	 2.000,00 € 	 1.965,00 € 	 35,00 € 
2007	Marzo	 2.000,00 € 	 1.975,00 € 	 25,00 € 
2007	Abril	 2.000,00 € 	 1.９２０,００ € 	 80,00 € 
2007	Mayo	 2.000,00 € 	 1.６６５,００ € 	 335,00 € 
2007	Junio	 2.000,00 € 	 1.780,00 € 	 220,00 € 
2007	Julio	 2.000,00 € 	 1.９１５,00 € 	 85,00 € 
2007	Agosto	 2.000,00 € 	 1.970,00 € 	 35,00 € 
2007	Septiembre	 2.000,00 € 	 1.９７５,00 € 	 25,00 €
2007	Octubre	 2.000,00 € 	 1.815,00 € 	 185,00 € 
2007	Noviembre	 2.000,00 € 	 1.685,00 € 	 315,00 € 
2007	Diciembre	 4.000,00 € 	 2.740,00 € 	 1.260,00 € 
2008	Enero	 2.000,00 € 	 6.345,00 € 	-4.345,00 € 
2008	Febrero	 2.000,00 € 	 4.925,00 € 	-2.925,00 € 
2008	Marzo	 2.000,00 € 	 2.340,00 € 	-340,00 € 
2008	Abril	 2.000,00 € 	 1.740,00 € 	 260,00 € 
2008	Mayo	 2.000,00 € 	 2.210,00 € 	-210,00 € 
2008	Junio	 2.100,00 € 	 1.850,00 € 	 250,00 € 
2008	Julio	 2.000,00 € 	 1.620,00 € 	 380,00 € 
2008	Agosto	 2.100,00 € 	 1.785,00 € 	 315,00 € 
2008	Septiembre	 2.100,00 € 	 2.230,00 € 	-130,00 € 
2008	Octubre	 2.100,00 € 	 1.950,00 € 	 150,00 € 
2008	Noviembre	 2.100,00 € 	 1.970,00 € 	 130,00 € 
2008	Diciembre	 4.200,00 € 	 2.545,00 € 	 1.655,00 € 
2009	Enero	 2.100,00 € 	 2.580,00 € 	-480,00 € 
2009	Febrero	 2.100,00 € 	 2.055,00 € 	 45,00 € 
2009	Marzo	 2.100,00 € 	 1.850,00 € 	 250,00 € 
2009	Abril	 14.400,00 € 	 1.560,00 € 	 12.840,00 € 
2009	Mayo	 750,00 € 	 1.910,00 € 	-1.160,00 € 
2009	Junio	 2.300,00 € 	 20.480,00 € 	-18.180,00 € 
2009	Julio	 11.550,00 € 	 2.635,00 € 	 8.915,00 € 
2009	Agosto	 5.100,00 € 	 2.655,00 € 	 2.445,00 € 
2009	Septiembre	 2.400,00 € 	 1.760,00 € 	 640,00 € 
2009	Octubre	 4.550,00 € 	 2.190,00 € 	 2.360,00 € 
2009	Noviembre	 4.600,00 € 	 4.360,00 € 	 240,00 € 
2009	Diciembre	 5.000,00 € 	 1.980,00 € 	 3.020,00 € 
2010	Enero	 4.000,00 € 	 2.875,00 € 	 1.125,00 € 
2010	Febrero	 4.000,00 € 	 3.555,00 € 	 445,00 € 
2010	Marzo	 4.445,00 € 	 4.020,00 € 	 425,00 € 
2010	Abril	 5.110,00 € 	 4.075,00 € 	 1.035,00 € 
2010	Mayo	 4.220,00 € 	 1.790,00 € 	 2.430,00 € 
2010	Junio	 4.445,00 € 	 7.915,00 € 	-3.470,00 € 
2010	Julio	 3.555,00 € 	 5.550,00 € 	-1.995,00 € 
2010	Agosto	 1.955,00 € 	 2.520,00 € 	-565,00 € 
2010	Septiembre	 2.900,00 € 	 2.290,00 € 	 610,00 € 
2010	Octubre	 2.150,00 € 	 2.055,00 € 	 95,00 € 
2010	Noviembre	 2.150,00 € 	 2.165,00 € 	-15,00 € 
2010	Diciembre	 2.150,00 € 	 2.145,00 € 	 5,00 € 
2011	Enero	 2.800,00 € 	 1.910,00 € 	 890,00 € 
2011	Febrero	0,00 €	 2.325,00 € 	-2.325,00 € 
2011	Marzo	0,00 €	 2.075,00 € 	-2.075,00 € 
2011	Abril	0,00 €	 1.630,00 € 	-1.630,00 € 
2011	Mayo	 1.595,00 € 	 1.715,00 € 	-120,00 € 
2011	Junio	 2.710,00 € 	 3.850,00 € 	-1.140,00 € 
2011	Julio	 1.790,00 € 	 1.845,00 € 	-55,00 € 
2011	Agosto	 1.800,00 € 	 1.630,00 € 	 170,00 € 
2011	Septiembre	 1.785,00 € 	 2.080,00 € 	-295,00 € 
2011	Octubre	 1.800,00 € 	 1.860,00 € 	-60,00 € 
2011	Noviembre	 1.800,00 € 	 2.010,00 € 	-210,00 € 
2011	Diciembre	 3.640,00 € 	 3.640,00 € 	 -   € 
2012	EneroE	 1.810,00 € 	 1.875,00 € 	-65,00 € 
2012	Febrero	 1.730,00 € 	 2.690,00 € 	-960,00 € 
2012	Marzo	 1.720,00 € 	 6.415,00 € 	-4.695,00 € 
